User,user_tier,Algorithm,Tier,Rating,Problems Solved,Comparison
tommy1005a,Gold IV,브루트포스 알고리즘,Bronze IV,86,7,"low, universal 브루트포스 알고리즘 rating for this tier: 276.7, Silver V, User's 브루트포스 알고리즘 tier: Bronze IV, Rating: 86.0"
tommy1005a,Gold IV,구현,Silver III,407,62,"low, universal 구현 rating for this tier: 632.53, Silver II, User's 구현 tier: Silver III, Rating: 407.0"
tommy1005a,Gold IV,수학,Silver II,551,55,"low, universal 수학 rating for this tier: 632.02, Silver II, User's 수학 tier: Silver II, Rating: 551.0"
tommy1005a,Gold IV,사칙연산,Bronze I,150,25,"low, universal 사칙연산 rating for this tier: 265.02, Silver V, User's 사칙연산 tier: Bronze I, Rating: 150.0"
tommy1005a,Gold IV,그리디 알고리즘,Bronze V,56,3,"low, universal 그리디 알고리즘 rating for this tier: 216.07, Silver V, User's 그리디 알고리즘 tier: Bronze V, Rating: 56.0"
tommy1005a,Gold IV,이분 탐색,Bronze V,36,2,"low, universal 이분 탐색 rating for this tier: 92.5, Bronze III, User's 이분 탐색 tier: Bronze V, Rating: 36.0"
tommy1005a,Gold IV,기하학,Bronze V,38,4,"low, universal 기하학 rating for this tier: 45.45, Bronze V, User's 기하학 tier: Bronze V, Rating: 38.0"
tommy1005a,Gold IV,그래프 이론,Silver III,438,20,"High, universal 그래프 이론 rating for this tier: 266.75, Silver V, User's 그래프 이론 tier: Silver III, Rating: 438.0"
tommy1005a,Gold IV,그래프 탐색,Silver III,438,20,"Normal, universal 그래프 탐색 rating for this tier: 425.79, Silver III, User's 그래프 탐색 tier: Silver III, Rating: 438.0"
tommy1005a,Gold IV,조합론,Not ratable,26,2,"low, universal 조합론 rating for this tier: 41.13, Bronze V, User's 조합론 tier: Not ratable, Rating: 26.0"
tommy1005a,Gold IV,너비 우선 탐색,Silver V,274,13,"High, universal 너비 우선 탐색 rating for this tier: 237.32, Silver V, User's 너비 우선 탐색 tier: Silver V, Rating: 274.0"
tommy1005a,Gold IV,다이나믹 프로그래밍,Silver V,290,16,"Normal, universal 다이나믹 프로그래밍 rating for this tier: 307.28, Silver IV, User's 다이나믹 프로그래밍 tier: Silver V, Rating: 290.0"
tommy1005a,Gold IV,백트래킹,Bronze III,92,5,"low, universal 백트래킹 rating for this tier: 154.75, Bronze I, User's 백트래킹 tier: Bronze III, Rating: 92.0"
tommy1005a,Gold IV,자료 구조,Bronze I,177,10,"low, universal 자료 구조 rating for this tier: 337.68, Silver IV, User's 자료 구조 tier: Bronze I, Rating: 177.0"
tommy1005a,Gold IV,깊이 우선 탐색,Silver V,219,10,"High, universal 깊이 우선 탐색 rating for this tier: 150.1, Bronze I, User's 깊이 우선 탐색 tier: Silver V, Rating: 219.0"
tommy1005a,Gold IV,시뮬레이션,Unrated,0,0,"low, universal 시뮬레이션 rating for this tier: 109.09, Bronze III, User's 시뮬레이션 tier: Unrated, Rating: 0.0"
tommy1005a,Gold IV,문자열,Silver V,219,19,"low, universal 문자열 rating for this tier: 341.51, Silver IV, User's 문자열 tier: Silver V, Rating: 219.0"
tommy1005a,Gold IV,정수론,Bronze II,124,7,"low, universal 정수론 rating for this tier: 167.17, Bronze I, User's 정수론 tier: Bronze II, Rating: 124.0"
tommy1005a,Gold IV,트리,Bronze II,120,5,"High, universal 트리 rating for this tier: 23.52, Unrated, User's 트리 tier: Bronze II, Rating: 120.0"
