User,user_tier,Algorithm,Tier,Rating,Problems Solved,Comparison,Universal_alg_tier,Universal_alg_rating,User_alg_tier,User_alg_rating
tommy1005a,Gold IV,브루트포스 알고리즘,Bronze IV,86,7,low,Silver V,276.63,Bronze IV,86.0
tommy1005a,Gold IV,구현,Silver III,407,62,low,Silver II,632.19,Silver III,407.0
tommy1005a,Gold IV,수학,Silver II,551,55,low,Silver II,631.69,Silver II,551.0
tommy1005a,Gold IV,사칙연산,Bronze I,150,25,low,Silver V,264.88,Bronze I,150.0
tommy1005a,Gold IV,그리디 알고리즘,Bronze V,56,3,low,Silver V,216.01,Bronze V,56.0
tommy1005a,Gold IV,이분 탐색,Bronze V,36,2,low,Bronze III,92.47,Bronze V,36.0
tommy1005a,Gold IV,기하학,Bronze V,38,4,low,Bronze V,45.37,Bronze V,38.0
tommy1005a,Gold IV,그래프 이론,Silver III,438,20,High,Silver V,266.86,Silver III,438.0
tommy1005a,Gold IV,그래프 탐색,Silver III,438,20,Normal,Silver III,426.77,Silver III,438.0
tommy1005a,Gold IV,조합론,Not ratable,26,2,low,Bronze V,41.11,Not ratable,26.0
tommy1005a,Gold IV,너비 우선 탐색,Silver V,274,13,High,Silver V,237.66,Silver V,274.0
tommy1005a,Gold IV,다이나믹 프로그래밍,Silver V,290,16,Normal,Silver IV,307.26,Silver V,290.0
tommy1005a,Gold IV,백트래킹,Bronze III,92,5,low,Bronze I,154.84,Bronze III,92.0
tommy1005a,Gold IV,자료 구조,Bronze I,177,10,low,Silver IV,337.19,Bronze I,177.0
tommy1005a,Gold IV,깊이 우선 탐색,Silver V,219,10,High,Bronze I,150.21,Silver V,219.0
tommy1005a,Gold IV,시뮬레이션,Unrated,0,0,low,Bronze III,109.48,Unrated,0.0
tommy1005a,Gold IV,문자열,Silver V,219,19,low,Silver IV,340.41,Silver V,219.0
tommy1005a,Gold IV,정수론,Bronze II,124,7,low,Bronze I,167.08,Bronze II,124.0
tommy1005a,Gold IV,트리,Bronze II,120,5,High,Unrated,23.54,Bronze II,120.0
