User,user_tier,Algorithm,Tier,Rating,Problems Solved,Comparison,Universal_alg_tier,Universal_alg_rating,User_alg_tier,User_alg_rating
sonhy02,Platinum IV,브루트포스 알고리즘,Silver V,278,16,low,Gold IV,1001.51,Silver V,278.0
sonhy02,Platinum IV,구현,Silver II,581,87,low,Gold II,1293.79,Silver II,581.0
sonhy02,Platinum IV,수학,Gold V,941,78,low,Gold III,1233.98,Gold V,941.0
sonhy02,Platinum IV,사칙연산,Bronze I,172,31,low,Silver IV,395.74,Bronze I,172.0
sonhy02,Platinum IV,그리디 알고리즘,Silver III,403,19,low,Gold V,875.49,Silver III,403.0
sonhy02,Platinum IV,이분 탐색,Silver V,289,11,low,Silver I,672.02,Silver V,289.0
sonhy02,Platinum IV,기하학,Silver IV,306,14,High,Silver V,274.42,Silver IV,306.0
sonhy02,Platinum IV,그래프 이론,Gold II,1330,54,Normal,Gold I,1405.13,Gold II,1330.0
sonhy02,Platinum IV,그래프 탐색,Silver I,691,28,low,Gold II,1366.54,Silver I,691.0
sonhy02,Platinum IV,조합론,Bronze III,100,5,low,Silver V,267.11,Bronze III,100.0
sonhy02,Platinum IV,너비 우선 탐색,Silver III,474,20,low,Gold III,1100.1,Silver III,474.0
sonhy02,Platinum IV,다이나믹 프로그래밍,Silver I,728,30,low,Gold II,1330.95,Silver I,728.0
sonhy02,Platinum IV,백트래킹,Bronze III,118,6,low,Silver I,668.81,Bronze III,118.0
sonhy02,Platinum IV,자료 구조,Gold V,872,34,low,Gold I,1405.26,Gold V,872.0
sonhy02,Platinum IV,깊이 우선 탐색,Silver V,237,10,low,Silver I,780.46,Silver V,237.0
sonhy02,Platinum IV,시뮬레이션,Bronze IV,70,3,low,Silver I,733.95,Bronze IV,70.0
sonhy02,Platinum IV,문자열,Bronze II,142,13,low,Gold V,831.11,Bronze II,142.0
sonhy02,Platinum IV,정수론,Silver IV,372,14,low,Silver II,627.72,Silver IV,372.0
sonhy02,Platinum IV,트리,Silver III,494,15,High,Silver III,426.45,Silver III,494.0
