User,user_tier,Algorithm,Tier,Rating,Problems Solved,Comparison
ookil12,Gold II,브루트포스 알고리즘,Silver II,629,36,"High, universal 브루트포스 알고리즘 rating for this tier: 418.05, Silver III, User's 브루트포스 알고리즘 tier: Silver II, Rating: 629.0"
ookil12,Gold II,구현,Gold V,832,146,"High, universal 구현 rating for this tier: 711.68, Silver I, User's 구현 tier: Gold V, Rating: 832.0"
ookil12,Gold II,수학,Gold V,842,116,"High, universal 수학 rating for this tier: 707.91, Silver I, User's 수학 tier: Gold V, Rating: 842.0"
ookil12,Gold II,사칙연산,Silver IV,301,48,"High, universal 사칙연산 rating for this tier: 267.78, Silver V, User's 사칙연산 tier: Silver IV, Rating: 301.0"
ookil12,Gold II,그리디 알고리즘,Silver V,224,13,"low, universal 그리디 알고리즘 rating for this tier: 260.93, Silver V, User's 그리디 알고리즘 tier: Silver V, Rating: 224.0"
ookil12,Gold II,이분 탐색,Bronze I,150,7,"High, universal 이분 탐색 rating for this tier: 130.73, Bronze II, User's 이분 탐색 tier: Bronze I, Rating: 150.0"
ookil12,Gold II,기하학,Bronze V,48,5,"low, universal 기하학 rating for this tier: 58.39, Bronze V, User's 기하학 tier: Bronze V, Rating: 48.0"
ookil12,Gold II,그래프 이론,Silver I,758,34,"High, universal 그래프 이론 rating for this tier: 627.19, Silver II, User's 그래프 이론 tier: Silver I, Rating: 758.0"
ookil12,Gold II,그래프 탐색,Silver II,619,28,"Normal, universal 그래프 탐색 rating for this tier: 639.17, Silver II, User's 그래프 탐색 tier: Silver II, Rating: 619.0"
ookil12,Gold II,조합론,Bronze III,104,6,"High, universal 조합론 rating for this tier: 68.85, Bronze IV, User's 조합론 tier: Bronze III, Rating: 104.0"
ookil12,Gold II,너비 우선 탐색,Silver III,476,22,"Normal, universal 너비 우선 탐색 rating for this tier: 440.4, Silver III, User's 너비 우선 탐색 tier: Silver III, Rating: 476.0"
ookil12,Gold II,다이나믹 프로그래밍,Silver II,600,30,"High, universal 다이나믹 프로그래밍 rating for this tier: 529.08, Silver II, User's 다이나믹 프로그래밍 tier: Silver II, Rating: 600.0"
ookil12,Gold II,백트래킹,Silver V,245,12,"low, universal 백트래킹 rating for this tier: 277.91, Silver V, User's 백트래킹 tier: Silver V, Rating: 245.0"
ookil12,Gold II,자료 구조,Silver I,701,36,"High, universal 자료 구조 rating for this tier: 482.66, Silver III, User's 자료 구조 tier: Silver I, Rating: 701.0"
ookil12,Gold II,깊이 우선 탐색,Silver V,282,13,"Normal, universal 깊이 우선 탐색 rating for this tier: 258.52, Silver V, User's 깊이 우선 탐색 tier: Silver V, Rating: 282.0"
ookil12,Gold II,시뮬레이션,Bronze III,94,7,"low, universal 시뮬레이션 rating for this tier: 182.7, Bronze I, User's 시뮬레이션 tier: Bronze III, Rating: 94.0"
ookil12,Gold II,문자열,Silver II,551,45,"High, universal 문자열 rating for this tier: 377.21, Silver IV, User's 문자열 tier: Silver II, Rating: 551.0"
ookil12,Gold II,정수론,Silver V,232,15,"Normal, universal 정수론 rating for this tier: 225.23, Silver V, User's 정수론 tier: Silver V, Rating: 232.0"
ookil12,Gold II,트리,Bronze III,100,4,"High, universal 트리 rating for this tier: 67.67, Bronze IV, User's 트리 tier: Bronze III, Rating: 100.0"
